,Unnamed: 0,imDbId,title,fullTitle,year,items,sentiment_score,neg,neu,pos,compound
14,128,tt2953050,Encanto,Encanto (2021),2021,"{'publisher': 'The Globe and Mail (Toronto)', 'author': 'Aparita Bhandari', 'link': 'https://www.theglobeandmail.com/arts/film/reviews/article-disneys-latest-lin-manuel-miranda-partnership-encanto-is-more/', 'rate': '50', 'content': 'Encanto ends up being overwrought rather than enchanting.'}",0.0,0.0,1.0,0.0,0.0
15,120,tt2953050,Encanto,Encanto (2021),2021,"{'publisher': 'IGN', 'author': '', 'link': '', 'rate': '90', 'content': 'Encanto is a vibrant, visual delight that’s just as magical as the family at its center.'}",0.81,0.0,0.751,0.249,0.8074
16,136,tt12536294,Spencer,Spencer (2021),2021,"{'publisher': 'The Film Stage', 'author': 'David Katz', 'link': '', 'rate': '75', 'content': 'This is a film that will potentially delight, challenge, and force its wide target audience to take seriously on its own terms. A dream ballet of a dying star.'}",0.67,0.04,0.793,0.168,0.6705
17,130,tt12536294,Spencer,Spencer (2021),2021,"{'publisher': 'The Guardian', 'author': 'Xan Brooks', 'link': 'https://www.theguardian.com/film/2021/sep/03/spencer-review-princess-diana-kristen-stewart', 'rate': '100', 'content': 'Kristen Stewart proves entirely compelling in the title role. She gives an awkward and mannered performance as Diana, and this is entirely as it should be when one considers that Diana gave an awkward and mannered performance herself, garnishing her inbred posh hauteur with studied coquettish asides.'}",-0.0,0.053,0.911,0.036,-0.0018
18,148,tt12789558,Belfast,Belfast (2021),2021,"{'publisher': 'Slant Magazine', 'author': 'Mark Hanson', 'link': '', 'rate': '63', 'content': ""Kenneth Branagh's film understands the malleability of memory, and it embodies cinema’s ability to offer a kind of escapism, but up until its climax it plays like a retreat from reality.""}",0.82,0.0,0.789,0.211,0.8225
19,146,tt12789558,Belfast,Belfast (2021),2021,"{'publisher': 'Entertainment Weekly', 'author': 'Leah Greenblatt', 'link': 'https://ew.com/movies/movie-reviews/belfast-review-kenneth-branagh-telluride/', 'rate': '67', 'content': ""Branagh's genuine affection and nostalgia for his subject suffuse the movie; if only the misty romanticism of his story could match it.""}",0.86,0.0,0.761,0.239,0.8555
20,171,tt3480822,Black Widow,Black Widow (2021),2021,"{'publisher': 'The Guardian', 'author': 'Peter Bradshaw', 'link': 'https://www.theguardian.com/film/2021/jun/29/black-widow-review-scarlett-johansson-the-russian-super-spy-with-an-electra-complex?CMP=twt_a-culture_b-gdnculture', 'rate': '80', 'content': 'For fans of Black Widow and everyone else, this episode is great fun and Harbour could well ascend to spinoff greatness of his own.'}",0.86,0.0,0.771,0.229,0.8591
21,178,tt3480822,Black Widow,Black Widow (2021),2021,"{'publisher': 'Slashfilm', 'author': 'Hoai-Tran Bui', 'link': 'https://www.slashfilm.com/581985/black-widow-review/', 'rate': '60', 'content': 'Black Widow is at its best when it’s a wacky family drama between Natasha, Yelena, Alexei, and Melina, with dashes of a spy thriller. But Marvel films can’t content themselves with staying small, and Black Widow falls victim to the big bombast characteristic of the studio. The result is a disappointing solo movie that ends up burying Natasha Romanoff once again.'}",-0.12,0.09,0.813,0.097,-0.1154
22,197,tt8097030,Turning Red,Turning Red (2022),2022,"{'publisher': 'Empire', 'author': 'Ben Travis', 'link': 'https://www.empireonline.com/movies/reviews/turning-red/', 'rate': '80', 'content': 'A daring, distinctive and downright delightful debut from Domee Shi, and a welcome change of pace from Pixar. Turning Red is, appropriately, its own beast — and one that’s easy to love.'}",0.9,0.0,0.747,0.253,0.9042
23,196,tt8097030,Turning Red,Turning Red (2022),2022,"{'publisher': 'The Globe and Mail (Toronto)', 'author': 'Barry Hertz', 'link': 'https://www.theglobeandmail.com/arts/film/reviews/article-turning-red-is-top-tier-pixar-no-matter-your-love-or-hate-for-toronto/', 'rate': '90', 'content': 'This is an energetic, heartfelt, poignant and often delightfully subversive story of one young girl’s path into adulthood, and embrace of her cultural heritage.'}",0.89,0.04,0.698,0.262,0.8885
